Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,"Sleep, Demo",13.15,14.69,-3.71,-0.02,0.00
AutoGluon,"Sleep, Demo, Brain",12.09,13.68,-3.09,0.06,0.08
XGBoost,"Sleep, Demo",14.04,15.48,-4.24,0.10*,0.08
XGBoost,"Sleep, Demo, Brain",13.04,14.58,-3.64,0.08,0.08
