Feature Combination,Model,Target,Performance Test Set MAE VETSA,Performance Test Set RMSE VETSA,Performance Test Set R2 VETSA,Performance Test Set Pearson r VETSA,Performance Test Set Pearson r p-value VETSA,Performance Test Set Spearman r VETSA,Performance Test Set Spearman r p-value VETSA
Sleep_Cov_Brain,XGBoost,Memory_Letter,20.69923828589128,23.4053401643208,-3.527741866998639,0.0325070192940996,0.4634209337396957,0.0171883094666214,0.6982941898595874
Sleep_Cov_Brain,XGBoost,Memory_Letter_rgo_age,21.274758901249395,23.81835968531217,-3.69692236952997,0.0456908847062102,0.3026038474148161,0.04249745196416,0.3376854087337734
Sleep_Cov_Brain,XGBoost,Stroop,14.63465632115601,16.07645125269641,-4.643988744079362,0.1356136506186196,0.0021242641263245,0.1434384613598979,0.0011485504810925
Sleep_Cov_Brain,XGBoost,Stroop_rgo_age,13.043623269745408,14.58279279358841,-3.6440500021439206,0.0842275606253363,0.0570784701580371,0.0808495600307116,0.0678285809716177
Sleep_Cov_Brain_APOE,AutoGluon,Memory_Digit,13.230815076237011,15.736368386836228,-0.8536659251839438,0.0270654639323218,0.5415725676160407,0.0201639436545962,0.6492947479474243
Sleep_Cov_Brain_APOE,AutoGluon,Memory_Letter,21.473303324793907,23.98146754894761,-3.7533879068002074,0.065784806631949,0.1375297606288657,0.050463155926315,0.254841982197584
Sleep_Cov_Brain_APOE,AutoGluon,Stroop,13.301497119528094,14.82498871074392,-3.79948352961768,0.1508297972359392,0.0006243866910992,0.1579254689199622,0.0003387289761662
Sleep_Cov_Brain_APOE,XGBoost,Memory_Digit,13.244922167634313,15.735874500603536,-0.8535495723264792,-0.0306902627471717,0.4887948083984199,-0.0276088878992015,0.5334831609285311
Sleep_Cov_Brain_APOE,XGBoost,Memory_Letter,21.165911466109527,23.7876213182705,-3.676853615901874,0.0208056868579842,0.6389138264277658,0.0279040328343327,0.5291152946823448
Sleep_Cov_Brain_APOE,XGBoost,Stroop,13.795294230808212,15.33104749031748,-4.1327418359172885,0.1229036175503962,0.0054020936249231,0.131001250784658,0.0030085116548839
Sleep_Cov_Brain_APOE_Shuffle,AutoGluon,Memory_Digit,13.706833097255084,16.22322315708531,-0.97013834243267,0.0135252381639102,0.7603605189689643,0.0168440046560074,0.7040505189974793
Sleep_Cov_Brain_APOE_Shuffle,AutoGluon,Memory_Letter,22.12967472239814,24.612003931958885,-4.006632289774608,0.0468952754804691,0.2900243033300493,0.0378513495539273,0.3931869691549022
Sleep_Cov_Brain_APOE_Shuffle,AutoGluon,Stroop,13.007043896137272,14.55998125332976,-3.629428645609691,0.1433526449223359,0.001156517237375,0.1462670489336716,0.0009126157588585
Sleep_Cov_Brain_APOE_Shuffle,XGBoost,Memory_Digit,13.85553818843914,16.40547915183031,-1.0146531051345224,0.0530684474399515,0.2310981674170236,0.0499885919938979,0.2593429259081131
Sleep_Cov_Brain_APOE_Shuffle,XGBoost,Memory_Letter,22.26688580745323,24.81510734068941,-4.089604791711754,0.059236806854372,0.1812352767813279,0.0657181963262381,0.1379293664594855
Sleep_Cov_Brain_APOE_Shuffle,XGBoost,Stroop,15.8100743904695,17.24383354527598,-5.493418693181537,0.0166134160176383,0.7079151598316953,0.0246584778296457,0.578120614566041
Sleep_Cov_Brain_Shuffle,AutoGluon,Memory_Digit,15.164015718324473,17.761467084325616,-1.3614573685870548,-0.0295292302434433,0.5053932567092763,-0.028890881639288,0.5146437824744596
Sleep_Cov_Brain_Shuffle,AutoGluon,Memory_Letter,24.22148206502481,26.55449342533229,-4.828110618444812,-0.0301411263534683,0.4966087116137989,-0.0290400128746448,0.5124748445879247
Sleep_Cov_Brain_Shuffle,AutoGluon,Stroop,14.879485815677423,16.31819158887057,-4.815001332650671,0.0576884477797874,0.1929314072921858,0.0813530920570374,0.0661280148252948
Sleep_Cov_Brain_Shuffle,XGBoost,Memory_Digit,16.61273651222583,19.26236204699308,-1.7774197653896238,-0.0602388145706198,0.1739510974772209,-0.0478360306536294,0.2804459641240667
Sleep_Cov_Brain_Shuffle,XGBoost,Memory_Letter,26.10762009949769,28.30796933360373,-5.623219943202095,-0.016029407191712,0.7177365001461444,-0.0112713932483868,0.7993584871879444
Sleep_Cov_Brain_Shuffle,XGBoost,Stroop,15.0051327633482,16.440476412639953,-4.902480483680576,0.0355965259240699,0.4220011061559062,0.0185685612647853,0.6753942935035386
Sleep_Shuffle_Cov,AutoGluon,Memory_Digit,12.69739198031491,15.297522402897252,-0.7517197832809746,-0.0652098148969953,0.1410086801354708,-0.0550658271055219,0.2139877447825489
Sleep_Shuffle_Cov,AutoGluon,Memory_Letter,20.409553206613783,23.19447273062117,-3.446525150039053,-0.0941936181952333,0.0332711139732309,-0.0544723008024173,0.2189741611471446
Sleep_Shuffle_Cov,AutoGluon,Stroop,13.309340346130726,14.895332267390373,-3.84513802862832,0.1285014472151761,0.0036169070715547,0.1378095387968261,0.0017931669809857
Sleep_Shuffle_Cov,XGBoost,Memory_Digit,19.51075151397447,22.09855852775417,-2.6555298182852622,0.0093933040131488,0.8322449608827953,0.0236398876130986,0.5939278146472452
Sleep_Shuffle_Cov,XGBoost,Memory_Letter,29.593431187447564,31.55101802039574,-7.227700942914954,-0.043465170780748,0.3267895888638906,-0.0332453458506489,0.4533220466550618
Sleep_Shuffle_Cov,XGBoost,Stroop,17.682368693961873,18.93734341130349,-6.831480529960451,0.1269761156969433,0.0040409136072043,0.1250166262642172,0.0046514573469936
