Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,"Sleep, Demo",20.20,22.78,-3.30,0.05,0.03
AutoGluon,"Sleep, Demo, Brain",20.97,23.50,-3.57,0.10*,0.07
XGBoost,"Sleep, Demo",21.27,23.76,-3.67,0.03,-0.02
XGBoost,"Sleep, Demo, Brain",21.27,23.82,-3.70,0.05,0.04
