,fit_time,score_time,test_r2,train_r2,test_neg_mean_absolute_error,train_neg_mean_absolute_error,test_neg_root_mean_squared_error,train_neg_root_mean_squared_error,test_r_corr,train_r_corr,test_spearmanr,train_spearmanr,n_train,n_test,repeat,fold,cv_mdsum
0,26.718322277069092,0.0069332122802734375,0.14001619206059468,0.13749533627999055,-6.319657453411447,-6.650198941600491,-8.958168788014666,-10.296767988279429,0.4164275914019312,0.4142803744691231,0.4856438736531088,0.45043229852011524,643,161,0,0,5c27a6ab2f77a32bc345d1ab4ef33463
1,26.12540888786316,0.008320093154907227,0.12022119767521411,0.151260217569135,-7.003368735086616,-6.473101005771012,-12.31879305864272,-9.353136175899774,0.40312649592944455,0.4215089744623963,0.3996623010345151,0.4603899231987637,643,161,0,1,5c27a6ab2f77a32bc345d1ab4ef33463
2,29.427371978759766,0.006781101226806641,0.10909218796461728,0.12794337061192296,-7.2364938463863595,-6.431031171195827,-9.969642611621595,-10.144000284973595,0.4671164710569295,0.40300953972158676,0.4679025347571061,0.4513859270275146,643,161,0,2,5c27a6ab2f77a32bc345d1ab4ef33463
3,29.888065099716187,0.007276773452758789,0.0917360288001442,0.17030967695735866,-6.92652287600656,-6.511420748728219,-10.746800114136168,-9.741262943863017,0.31954789016402274,0.4424364398283257,0.3956676857443114,0.47253456567437124,643,161,0,3,5c27a6ab2f77a32bc345d1ab4ef33463
4,26.823039770126343,0.012158870697021484,0.21542223041147712,0.13053359156846422,-5.899828104650709,-6.7522652507987,-7.816576694207619,-10.485594574888077,0.4694213751826819,0.40502930244236646,0.44369649160241004,0.4508931747281881,644,160,0,4,5c27a6ab2f77a32bc345d1ab4ef33463
5,26.293166875839233,0.008560657501220703,0.1380660601210143,0.13954105582951903,-6.574436196136513,-6.573535107222567,-11.433730072929334,-9.653250561990168,0.435506531582867,0.4104258954291958,0.4897288961670287,0.44745682316674357,643,161,0,5,5c27a6ab2f77a32bc345d1ab4ef33463
6,23.806915998458862,0.007094144821166992,0.12270146900301182,0.13584222559629,-6.470136070523526,-6.609633188365894,-9.258472848197215,-10.25934406327167,0.42835871218637483,0.41267740950911763,0.4745225991266515,0.4527732260939263,643,161,0,6,5c27a6ab2f77a32bc345d1ab4ef33463
7,24.886456966400146,0.006924629211425781,0.1488483226345899,0.14110634323548243,-7.391386181485478,-6.376971193498173,-11.448032995715902,-9.618216573744723,0.44177404355423644,0.40969252023363806,0.4784327152442963,0.4517408828592077,643,161,0,7,5c27a6ab2f77a32bc345d1ab4ef33463
8,26.20510172843933,0.006509542465209961,0.09815983229824932,0.15636155909910876,-6.036090243935961,-6.718330485357598,-8.678089541995059,-10.275506364555945,0.3422145156506215,0.4362242463593863,0.4138200762938898,0.4679073793768217,643,161,0,8,5c27a6ab2f77a32bc345d1ab4ef33463
9,28.519488096237183,0.007405996322631836,0.12691907283817117,0.14480880793327056,-6.82842327360907,-6.5450072186469965,-9.204840764982508,-10.212368619597306,0.40941703118442496,0.4224252429860649,0.36590907234844877,0.4701020650693054,644,160,0,9,5c27a6ab2f77a32bc345d1ab4ef33463
