Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,"Sleep, Demo",13.68,14.34,-6.56,-0.16,-0.07
AutoGluon,"Sleep, Demo, Brain",17.82,18.45,-11.50,0.16,0.04
XGBoost,"Sleep, Demo",15.45,16.07,-8.49,0.21,0.10
XGBoost,"Sleep, Demo, Brain",21.17,22.22,-17.14,0.11,-0.03
