Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,Sleep,21.72,22.43,-16.96,-0.32,-0.36*
AutoGluon,Demographic,18.16,18.88,-11.72,0.24,0.22
AutoGluon,"Sleep, Demo",16.32,17.00,-9.31,0.18,0.14
AutoGluon,"Sleep (Shuffled), Demo",17.58,18.19,-10.80,0.27,0.30
AutoGluon,Brain,25.81,26.43,-23.93,0.10,0.13
AutoGluon,"Sleep, Demo, Brain",24.59,25.21,-21.69,0.13,0.12
AutoGluon,"Sleep (Shuffled), Demo, Brain",21.26,21.90,-16.12,0.09,0.18
AutoGluon,"Sleep, APOE",20.16,20.89,-14.58,-0.30,-0.37*
AutoGluon,"Sleep (Shuffled), APOE",22.00,22.68,-17.36,-0.39*,-0.38*
AutoGluon,"Sleep, Demo, APOE",14.57,15.31,-7.36,0.17,0.17
AutoGluon,"Sleep (Shuffled), Demo, APOE",17.51,18.29,-10.93,0.13,0.15
AutoGluon,"Sleep, Demo, Brain, APOE",26.97,27.78,-26.53,0.14,0.14
AutoGluon,"Sleep (Shuffled), Demo, Brain, APOE",25.73,26.45,-23.97,0.12,0.11
XGBoost,Sleep,23.20,23.85,-19.30,-0.41*,-0.28
XGBoost,Demographic,19.09,19.83,-13.03,0.10,0.03
XGBoost,"Sleep, Demo",16.45,17.13,-9.47,0.18,0.17
XGBoost,"Sleep (Shuffled), Demo",19.90,20.57,-14.09,-0.05,-0.02
XGBoost,Brain,24.98,25.59,-22.37,0.09,0.20
XGBoost,"Sleep, Demo, Brain",27.18,28.11,-27.19,0.11,0.02
XGBoost,"Sleep (Shuffled), Demo, Brain",21.79,22.38,-16.86,0.28,0.27
XGBoost,"Sleep, APOE",22.19,22.84,-17.62,-0.20,-0.20
XGBoost,"Sleep (Shuffled), APOE",22.77,23.45,-18.63,-0.30,-0.27
XGBoost,"Sleep, Demo, APOE",18.79,19.49,-12.55,0.21,0.22
XGBoost,"Sleep (Shuffled), Demo, APOE",15.45,16.15,-8.30,0.26,0.20
XGBoost,"Sleep, Demo, Brain, APOE",23.59,24.31,-20.09,0.04,0.12
XGBoost,"Sleep (Shuffled), Demo, Brain, APOE",23.72,24.31,-20.09,0.13,0.27
