Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,"Sleep, Demo",8.34,9.66,-0.15,0.12,0.06
AutoGluon,"Sleep, Demo, Brain",10.55,12.11,-0.81,0.10,0.04
XGBoost,"Sleep, Demo",8.96,10.39,-0.34,0.30,0.29
XGBoost,"Sleep, Demo, Brain",13.16,15.08,-1.82,0.14,0.15
