metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
test_neg_mean_absolute_error,-62.76964014372533,7.0936254520095345e-53,Random Forest,XGBoost,1.4896613449220022e-51,****
test_neg_mean_absolute_error,-0.06631778028464336,0.9473653110094387,Random Forest,AutoGluon,1.0,ns
test_neg_mean_absolute_error,46.64462107268391,2.889518090413041e-42,XGBoost,AutoGluon,6.067987989867386e-41,****
train_neg_mean_absolute_error,25.00230762422394,1.5002492860166028e-29,Linear Regression,Ridge Regression,3.150523500634866e-28,****
train_neg_mean_absolute_error,99.860791396434,2.7729576390742202e-58,Linear Regression,SVM-linear,5.823211042055863e-57,****
train_neg_mean_absolute_error,11.015601431593982,7.366041195778609e-15,Linear Regression,SVM-rbf,1.5468686511135078e-13,****
train_neg_mean_absolute_error,8.1712684772956,1.0466994234061222e-10,Linear Regression,Random Forest,2.198068789152857e-09,****
train_neg_mean_absolute_error,-35.669964863686324,1.0388476897539037e-39,Linear Regression,XGBoost,2.1815801484831978e-38,****
train_neg_mean_absolute_error,-35.669964863686324,1.0388476897539037e-39,Linear Regression,AutoGluon,2.1815801484831978e-38,****
train_neg_mean_absolute_error,101.66295904281766,1.1590878456966795e-58,Ridge Regression,SVM-linear,2.434084475963027e-57,****
train_neg_mean_absolute_error,10.711601272088044,1.9561233146211026e-14,Ridge Regression,SVM-rbf,4.1078589607043156e-13,****
train_neg_mean_absolute_error,7.916446168261242,2.564381113560686e-10,Ridge Regression,Random Forest,5.38520033847744e-09,****
train_neg_mean_absolute_error,-24.912067352059466,1.2327166619833236e-31,Ridge Regression,XGBoost,2.5887049901649795e-30,****
train_neg_mean_absolute_error,-24.912067352059466,1.2327166619833236e-31,Ridge Regression,AutoGluon,2.5887049901649795e-30,****
train_neg_mean_absolute_error,-3.996743969734728,0.00021570204870958624,SVM-linear,SVM-rbf,0.004529743022901311,**
train_neg_mean_absolute_error,-3.813851493635955,0.0003836177993237781,SVM-linear,Random Forest,0.00805597378579934,**
train_neg_mean_absolute_error,-96.3830006626609,5.017298363086069e-63,SVM-linear,XGBoost,1.0536326562480747e-61,****
train_neg_mean_absolute_error,-96.3830006626609,5.017298363086069e-63,SVM-linear,AutoGluon,1.0536326562480747e-61,****
train_neg_mean_absolute_error,-0.5442105225110857,0.5887646177411917,SVM-rbf,Random Forest,1.0,ns
train_neg_mean_absolute_error,-14.635840260982208,1.2883632728362344e-20,SVM-rbf,XGBoost,2.705562872956092e-19,****
train_neg_mean_absolute_error,-14.635840260982208,1.2883632728362344e-20,SVM-rbf,AutoGluon,2.705562872956092e-19,****
train_neg_mean_absolute_error,-7.890089147158701,1.3175943842956186e-10,Random Forest,XGBoost,2.766948207020799e-09,****
train_neg_mean_absolute_error,-7.890089147158701,1.3175943842956186e-10,Random Forest,AutoGluon,2.766948207020799e-09,****
train_neg_mean_absolute_error,,,XGBoost,AutoGluon,,ns
test_neg_root_mean_squared_error,-11.497597740479659,1.6040761258682845e-15,Linear Regression,Ridge Regression,3.368559864323397e-14,****
test_neg_root_mean_squared_error,-19.638048430044506,7.158686648594209e-25,Linear Regression,SVM-linear,1.5033241962047837e-23,****
test_neg_root_mean_squared_error,-19.809450668334836,4.899890010218078e-25,Linear Regression,SVM-rbf,1.0289769021457964e-23,****
test_neg_root_mean_squared_error,-20.287882039608675,1.723664535401033e-25,Linear Regression,Random Forest,3.619695524342169e-24,****
test_neg_root_mean_squared_error,-66.97636105058966,2.0945206673571373e-54,Linear Regression,XGBoost,4.398493401449989e-53,****
test_neg_root_mean_squared_error,-21.07317538352458,5.1823354216422e-28,Linear Regression,AutoGluon,1.0882904385448619e-26,****
test_neg_root_mean_squared_error,-19.442520790722508,1.1066952534969804e-24,Ridge Regression,SVM-linear,2.3240600323436588e-23,****
test_neg_root_mean_squared_error,-19.56445459851676,8.430841001179403e-25,Ridge Regression,SVM-rbf,1.7704766102476747e-23,****
test_neg_root_mean_squared_error,-19.994682730036146,3.262148778485875e-25,Ridge Regression,Random Forest,6.850512434820337e-24,****
test_neg_root_mean_squared_error,-67.01511728693033,2.0296965209415822e-54,Ridge Regression,XGBoost,4.262362693977323e-53,****
test_neg_root_mean_squared_error,-20.546602112908847,1.786620873242037e-27,Ridge Regression,AutoGluon,3.7519038338082775e-26,****
test_neg_root_mean_squared_error,-3.8295470073896074,0.0003652907254376311,SVM-linear,SVM-rbf,0.007671105234190252,**
test_neg_root_mean_squared_error,-3.916661226092229,0.0002779419469429111,SVM-linear,Random Forest,0.005836780885801134,**
test_neg_root_mean_squared_error,-58.419473837351894,3.4793742460043384e-51,SVM-linear,XGBoost,7.306685916609111e-50,****
test_neg_root_mean_squared_error,-1.3861181313371969,0.17130502980431359,SVM-linear,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,-1.424745804558175,0.16056907619922658,SVM-rbf,Random Forest,1.0,ns
test_neg_root_mean_squared_error,-59.2590780172735,1.6065329051704332e-51,SVM-rbf,XGBoost,3.37371910085791e-50,****
test_neg_root_mean_squared_error,-0.3890502592352381,0.6987411729079116,SVM-rbf,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,-63.369929421321345,4.23221228481662e-53,Random Forest,XGBoost,8.887645798114902e-52,****
test_neg_root_mean_squared_error,-0.04783389469046342,0.9620218987790933,Random Forest,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,46.588135050124436,3.0623433318432604e-42,XGBoost,AutoGluon,6.430920996870847e-41,****
train_neg_root_mean_squared_error,25.397955241953664,7.336970012384654e-30,Linear Regression,Ridge Regression,1.5407637026007773e-28,****
train_neg_root_mean_squared_error,99.34973174026155,3.561263155125834e-58,Linear Regression,SVM-linear,7.478652625764251e-57,****
train_neg_root_mean_squared_error,10.329427743379815,6.78880132750634e-14,Linear Regression,SVM-rbf,1.4256482787763314e-12,****
train_neg_root_mean_squared_error,8.795533211168511,1.1917340391930464e-11,Linear Regression,Random Forest,2.5026414823053975e-10,****
train_neg_root_mean_squared_error,-35.964104711117244,6.734628342185357e-40,Linear Regression,XGBoost,1.414271951858925e-38,****
train_neg_root_mean_squared_error,-35.964104711117244,6.734628342185357e-40,Linear Regression,AutoGluon,1.414271951858925e-38,****
train_neg_root_mean_squared_error,100.33711755886027,2.1986805944088624e-58,Ridge Regression,SVM-linear,4.617229248258611e-57,****
train_neg_root_mean_squared_error,10.101244376424747,1.439402799448961e-13,Ridge Regression,SVM-rbf,3.022745878842818e-12,****
train_neg_root_mean_squared_error,8.522580323618092,3.06855525494429e-11,Ridge Regression,Random Forest,6.443966035383009e-10,****
train_neg_root_mean_squared_error,-24.964720039267462,1.1077912663934028e-31,Ridge Regression,XGBoost,2.326361659426146e-30,****
train_neg_root_mean_squared_error,-24.964720039267462,1.1077912663934028e-31,Ridge Regression,AutoGluon,2.326361659426146e-30,****
train_neg_root_mean_squared_error,-2.5863345941583975,0.012722484881893302,SVM-linear,SVM-rbf,0.2671721825197593,ns
train_neg_root_mean_squared_error,-5.863413377746725,3.7968844311008347e-07,SVM-linear,Random Forest,7.973457305311753e-06,****
train_neg_root_mean_squared_error,-96.26311710140419,5.370646213511615e-63,SVM-linear,XGBoost,1.1278357048374391e-61,****
train_neg_root_mean_squared_error,-96.26311710140419,5.370646213511615e-63,SVM-linear,AutoGluon,1.1278357048374391e-61,****
train_neg_root_mean_squared_error,-1.996640332887544,0.05143533414792784,SVM-rbf,Random Forest,1.0,ns
train_neg_root_mean_squared_error,-13.761513979313362,1.8671038945468514e-19,SVM-rbf,XGBoost,3.920918178548388e-18,****
train_neg_root_mean_squared_error,-13.761513979313362,1.8671038945468514e-19,SVM-rbf,AutoGluon,3.920918178548388e-18,****
train_neg_root_mean_squared_error,-8.482752758760052,1.4349494631929432e-11,Random Forest,XGBoost,3.0133938727051805e-10,****
