metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
test_neg_mean_absolute_error,25.66238373881436,4.5731320634996614e-30,XGBoost,AutoGluon,9.603577333349289e-29,****
train_neg_mean_absolute_error,-8.07460657269896,1.4696045368119135e-10,Linear Regression,Ridge Regression,3.0861695273050183e-09,****
train_neg_mean_absolute_error,-13.97460021193913,1.0168706994027793e-18,Linear Regression,SVM-linear,2.1354284687458366e-17,****
train_neg_mean_absolute_error,-11.882078074901392,4.858091624826041e-16,Linear Regression,SVM-rbf,1.0201992412134686e-14,****
train_neg_mean_absolute_error,-19.928181208104984,3.7738748729740438e-25,Linear Regression,Random Forest,7.925137233245492e-24,****
train_neg_mean_absolute_error,-106.57390803141982,2.052475872407589e-65,Linear Regression,XGBoost,4.310199332055937e-64,****
train_neg_mean_absolute_error,-106.57390803141982,2.052475872407589e-65,Linear Regression,AutoGluon,4.310199332055937e-64,****
train_neg_mean_absolute_error,-13.972768115698967,1.0221320265252832e-18,Ridge Regression,SVM-linear,2.1464772557030948e-17,****
train_neg_mean_absolute_error,-11.876783165296407,4.938028112874557e-16,Ridge Regression,SVM-rbf,1.036985903703657e-14,****
train_neg_mean_absolute_error,-19.920995971143885,3.8338488672163646e-25,Ridge Regression,Random Forest,8.051082621154366e-24,****
train_neg_mean_absolute_error,-106.60453147338137,2.0204493029630387e-65,Ridge Regression,XGBoost,4.2429435362223815e-64,****
train_neg_mean_absolute_error,-106.60453147338137,2.0204493029630387e-65,Ridge Regression,AutoGluon,4.2429435362223815e-64,****
train_neg_mean_absolute_error,-4.031180288944988,0.00019329777800436624,SVM-linear,SVM-rbf,0.0040592533380916914,**
train_neg_mean_absolute_error,-13.912179628160736,1.2126282019674303e-18,SVM-linear,Random Forest,2.5465192241316036e-17,****
train_neg_mean_absolute_error,-119.21032619818749,4.437840569519417e-68,SVM-linear,XGBoost,9.319465195990777e-67,****
train_neg_mean_absolute_error,-119.21032619818749,4.437840569519417e-68,SVM-linear,AutoGluon,9.319465195990777e-67,****
train_neg_mean_absolute_error,-10.870547832869233,1.1721627700496908e-14,SVM-rbf,Random Forest,2.4615418171043507e-13,****
train_neg_mean_absolute_error,-111.97075989470197,1.3729139926624255e-66,SVM-rbf,XGBoost,2.8831193845910936e-65,****
train_neg_mean_absolute_error,-111.97075989470197,1.3729139926624255e-66,SVM-rbf,AutoGluon,2.8831193845910936e-65,****
train_neg_mean_absolute_error,-100.88591158145938,4.1289951195674294e-64,Random Forest,XGBoost,8.670889751091601e-63,****
train_neg_mean_absolute_error,-100.88591158145938,4.1289951195674294e-64,Random Forest,AutoGluon,8.670889751091601e-63,****
train_neg_mean_absolute_error,,,XGBoost,AutoGluon,,ns
test_neg_root_mean_squared_error,-0.30164672425645167,0.7641979096745559,Linear Regression,Ridge Regression,1.0,ns
test_neg_root_mean_squared_error,1.7775510787503017,0.08168408380273387,Linear Regression,SVM-linear,1.0,ns
