metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
train_neg_mean_absolute_error,-1.0134080964069994,0.3158433759595921,Linear Regression,Ridge Regression,1.0,ns
train_neg_mean_absolute_error,-3.770338798951695,0.00043917377829129817,Linear Regression,SVM-linear,0.009222649344117262,**
train_neg_mean_absolute_error,-6.208524415817035,1.1157143675594566e-07,Linear Regression,SVM-rbf,2.343000171874859e-06,****
train_neg_mean_absolute_error,-4.836383850527658,1.3526485762914868e-05,Linear Regression,Random Forest,0.00028405620102121224,***
train_neg_mean_absolute_error,-151.75257000232835,7.930228528609632e-74,Linear Regression,XGBoost,1.6653479910080227e-72,****
train_neg_mean_absolute_error,-151.75257000232835,7.930228528609632e-74,Linear Regression,AutoGluon,1.6653479910080227e-72,****
train_neg_mean_absolute_error,-3.7687139999246773,0.0004413914483467448,Ridge Regression,SVM-linear,0.00926922041528164,**
train_neg_mean_absolute_error,-6.207210110275554,1.1209438088500255e-07,Ridge Regression,SVM-rbf,2.3539819985850537e-06,****
train_neg_mean_absolute_error,-4.836109412453141,1.3539110262072376e-05,Ridge Regression,Random Forest,0.0002843213155035199,***
train_neg_mean_absolute_error,-151.74598355983437,7.949137682037473e-74,Ridge Regression,XGBoost,1.6693189132278693e-72,****
train_neg_mean_absolute_error,-151.74598355983437,7.949137682037473e-74,Ridge Regression,AutoGluon,1.6693189132278693e-72,****
train_neg_mean_absolute_error,-4.539201657527345,3.679660121012746e-05,SVM-linear,SVM-rbf,0.0007727286254126767,***
train_neg_mean_absolute_error,-4.627414319188111,2.739649427776299e-05,SVM-linear,Random Forest,0.0005753263798330228,***
train_neg_mean_absolute_error,-147.09243685498683,4.3903637730557183e-73,SVM-linear,XGBoost,9.219763923417009e-72,****
train_neg_mean_absolute_error,-147.09243685498683,4.3903637730557183e-73,SVM-linear,AutoGluon,9.219763923417009e-72,****
train_neg_mean_absolute_error,-4.170163560932676,0.00012369304112069582,SVM-rbf,Random Forest,0.002597553863534612,**
train_neg_mean_absolute_error,-135.6609065737722,3.713093491061508e-71,SVM-rbf,XGBoost,7.797496331229167e-70,****
train_neg_mean_absolute_error,-135.6609065737722,3.713093491061508e-71,SVM-rbf,AutoGluon,7.797496331229167e-70,****
train_neg_mean_absolute_error,-40.826923878237416,8.068098133644544e-43,Random Forest,XGBoost,1.6943006080653543e-41,****
train_neg_mean_absolute_error,-40.826923878237416,8.068098133644544e-43,Random Forest,AutoGluon,1.6943006080653543e-41,****
train_neg_mean_absolute_error,,,XGBoost,AutoGluon,,ns
test_neg_root_mean_squared_error,-0.914275931123975,0.36504906960154226,Linear Regression,Ridge Regression,1.0,ns
test_neg_root_mean_squared_error,0.30444792277993166,0.7620759459924356,Linear Regression,SVM-linear,1.0,ns
test_neg_root_mean_squared_error,0.06178704808061835,0.9509837610470893,Linear Regression,SVM-rbf,1.0,ns
test_neg_root_mean_squared_error,1.6245699750954592,0.11067029798957144,Linear Regression,Random Forest,1.0,ns
test_neg_root_mean_squared_error,-60.64476543204832,4.591484086169891e-52,Linear Regression,XGBoost,9.642116580956771e-51,****
test_neg_root_mean_squared_error,0.2514689766135871,0.8023887678539389,Linear Regression,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,0.31132616215726205,0.7568733897706255,Ridge Regression,SVM-linear,1.0,ns
test_neg_root_mean_squared_error,0.06804619162900573,0.9460257796981073,Ridge Regression,SVM-rbf,1.0,ns
test_neg_root_mean_squared_error,1.6308771925252472,0.10932810272739693,Ridge Regression,Random Forest,1.0,ns
test_neg_root_mean_squared_error,-60.65544477473156,4.547870056773368e-52,Ridge Regression,XGBoost,9.550527119224074e-51,****
test_neg_root_mean_squared_error,0.2523827316375601,0.8016860649015469,Ridge Regression,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,-0.3902818318520247,0.6980196822612297,SVM-linear,SVM-rbf,1.0,ns
test_neg_root_mean_squared_error,1.2647948664722886,0.2119273545167508,SVM-linear,Random Forest,1.0,ns
test_neg_root_mean_squared_error,-59.70945300283185,1.0660022295592566e-51,SVM-linear,XGBoost,2.238604682074439e-50,****
test_neg_root_mean_squared_error,0.20923017658468143,0.8350415960053541,SVM-linear,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,1.5250428252862545,0.1336774656975245,SVM-rbf,Random Forest,1.0,ns
test_neg_root_mean_squared_error,-59.626688607674524,1.1491983122573205e-51,SVM-rbf,XGBoost,2.413316455740373e-50,****
test_neg_root_mean_squared_error,0.2394666472321212,0.8116339287790358,SVM-rbf,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,-62.791142108975095,6.963025210812755e-53,Random Forest,XGBoost,1.4622352942706786e-51,****
test_neg_root_mean_squared_error,-0.1881992640295299,0.851413117315688,Random Forest,AutoGluon,1.0,ns
test_neg_root_mean_squared_error,42.45055635502257,2.619881211561293e-40,XGBoost,AutoGluon,5.501750544278715e-39,****
train_neg_root_mean_squared_error,9.994906462948833,2.047495957625367e-13,Linear Regression,Ridge Regression,4.299741511013271e-12,****
train_neg_root_mean_squared_error,6.770880562822033,1.5023575198732924e-08,Linear Regression,SVM-linear,3.1549507917339143e-07,****
train_neg_root_mean_squared_error,-1.0264246900533998,0.3097319618412688,Linear Regression,SVM-rbf,1.0,ns
train_neg_root_mean_squared_error,-4.982650435045178,8.210256962142107e-06,Linear Regression,Random Forest,0.00017241539620498425,***
train_neg_root_mean_squared_error,-161.40070356182036,2.692857249509897e-75,Linear Regression,XGBoost,5.655000223970784e-74,****
train_neg_root_mean_squared_error,-161.40070356182036,2.692857249509897e-75,Linear Regression,AutoGluon,5.655000223970784e-74,****
train_neg_root_mean_squared_error,6.7704785885745435,1.5045142481713043e-08,Ridge Regression,SVM-linear,3.159479921159739e-07,****
train_neg_root_mean_squared_error,-1.0266200986271234,0.3096408331939327,Ridge Regression,SVM-rbf,1.0,ns
train_neg_root_mean_squared_error,-4.982669465665815,8.209721518785013e-06,Ridge Regression,Random Forest,0.00017240415189448527,***
train_neg_root_mean_squared_error,-161.40083608109782,2.692735899500115e-75,Ridge Regression,XGBoost,5.654745388950241e-74,****
train_neg_root_mean_squared_error,-161.40083608109782,2.692735899500115e-75,Ridge Regression,AutoGluon,5.654745388950241e-74,****
train_neg_root_mean_squared_error,-4.0914026940619825,0.00015941821833492513,SVM-linear,SVM-rbf,0.0033477825850334276,**
train_neg_root_mean_squared_error,-5.219883253039582,3.6241285967720287e-06,SVM-linear,Random Forest,7.610670053221261e-05,****
train_neg_root_mean_squared_error,-157.67580908529897,9.69953985346902e-75,SVM-linear,XGBoost,2.0369033692284944e-73,****
train_neg_root_mean_squared_error,-157.67580908529897,9.69953985346902e-75,SVM-linear,AutoGluon,2.0369033692284944e-73,****
train_neg_root_mean_squared_error,-4.932673020580624,9.741848441453496e-06,SVM-rbf,Random Forest,0.0002045788172705234,***
train_neg_root_mean_squared_error,-148.08494794718175,3.0357528311586785e-73,SVM-rbf,XGBoost,6.375080945433225e-72,****
train_neg_root_mean_squared_error,-148.08494794718175,3.0357528311586785e-73,SVM-rbf,AutoGluon,6.375080945433225e-72,****
train_neg_root_mean_squared_error,-41.47361625767323,3.4912899299580315e-43,Random Forest,XGBoost,7.331708852911867e-42,****
train_neg_root_mean_squared_error,-41.47361625767323,3.4912899299580315e-43,Random Forest,AutoGluon,7.331708852911867e-42,****
train_neg_root_mean_squared_error,,,XGBoost,AutoGluon,,ns
test_r_corr,-0.3508113765681185,0.7272336644231328,Linear Regression,Ridge Regression,1.0,ns
test_r_corr,-0.6606696801447394,0.5119184197316689,Linear Regression,SVM-linear,1.0,ns
test_r_corr,-0.6126075274463537,0.5429686593375933,Linear Regression,SVM-rbf,1.0,ns
test_r_corr,1.600029080368412,0.1160208000488001,Linear Regression,Random Forest,1.0,ns
test_r_corr,1.192263375199138,0.2382767683566169,Linear Regression,XGBoost,1.0,ns
test_r_corr,0.7269846067469694,0.47031850265440234,Linear Regression,AutoGluon,1.0,ns
test_r_corr,-0.6579808302195952,0.5136299839364838,Ridge Regression,SVM-linear,1.0,ns
test_r_corr,-0.6117551575358032,0.5435279380261875,Ridge Regression,SVM-rbf,1.0,ns
test_r_corr,1.6022898078344343,0.11551930053012922,Ridge Regression,Random Forest,1.0,ns
test_r_corr,1.1929960938987114,0.23799204536904267,Ridge Regression,XGBoost,1.0,ns
test_r_corr,0.7275270338205948,0.4699889471503391,Ridge Regression,AutoGluon,1.0,ns
test_r_corr,-0.3357189747365055,0.7385160673830309,SVM-linear,SVM-rbf,1.0,ns
test_r_corr,1.73080582474382,0.08977996379415404,SVM-linear,Random Forest,1.0,ns
test_r_corr,1.3124011745824447,0.19483547673076845,SVM-linear,XGBoost,1.0,ns
test_r_corr,0.856673561005515,0.39534257754477076,SVM-linear,AutoGluon,1.0,ns
test_r_corr,2.1054437926345106,0.04040161784311649,SVM-rbf,Random Forest,0.8484339747054462,ns
test_r_corr,1.3873713708492041,0.17092476631536588,SVM-rbf,XGBoost,1.0,ns
test_r_corr,0.9152654383757504,0.3640478080020878,SVM-rbf,AutoGluon,1.0,ns
test_r_corr,0.20778170739288968,0.8361668927582938,Random Forest,XGBoost,1.0,ns
test_r_corr,-0.24175828336492716,0.8098665964076626,Random Forest,AutoGluon,1.0,ns
test_r_corr,-1.002158799542168,0.32119036004692647,XGBoost,AutoGluon,1.0,ns
train_r_corr,6.337211328283643,7.056169142440797e-08,Linear Regression,Ridge Regression,1.4817955199125673e-06,****
train_r_corr,4.0718349895673915,0.0001697404305073057,Linear Regression,SVM-linear,0.0035645490406534196,**
train_r_corr,-3.555381758133111,0.0008477490391003047,Linear Regression,SVM-rbf,0.017802729821106398,*
train_r_corr,-11.031591631213974,6.999463130161551e-15,Linear Regression,Random Forest,1.4698872573339258e-13,****
train_r_corr,57.87197444672178,5.792654914220855e-51,Linear Regression,XGBoost,1.2164575319863794e-49,****
train_r_corr,57.87197444672178,5.792654914220855e-51,Linear Regression,AutoGluon,1.2164575319863794e-49,****
train_r_corr,4.07143219000094,0.00016995957377670504,Ridge Regression,SVM-linear,0.003569151049310806,**
train_r_corr,-3.555465045623773,0.0008475360006224486,Ridge Regression,SVM-rbf,0.01779825601307142,*
train_r_corr,-11.031607990734008,6.9990977028387705e-15,Ridge Regression,Random Forest,1.4698105175961417e-13,****
train_r_corr,57.87202838522057,5.79236269368656e-51,Ridge Regression,XGBoost,1.2163961656741778e-49,****
train_r_corr,57.87202838522057,5.79236269368656e-51,Ridge Regression,AutoGluon,1.2163961656741778e-49,****
train_r_corr,-4.327888764983048,7.40078189193822e-05,SVM-linear,SVM-rbf,0.0015541641973070262,**
train_r_corr,-11.060904539185781,6.374718576654204e-15,SVM-linear,Random Forest,1.338690901097383e-13,****
train_r_corr,58.00574230652207,5.112144814088899e-51,SVM-linear,XGBoost,1.0735504109586688e-49,****
train_r_corr,58.00574230652207,5.112144814088899e-51,SVM-linear,AutoGluon,1.0735504109586688e-49,****
