metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
test_neg_mean_absolute_error,-38.906073785663146,1.0471717511625604e-41,Random Forest,XGBoost,2.1990606774413768e-40,****
test_neg_mean_absolute_error,0.5124429726740307,0.6103928947882568,Random Forest,AutoGluon,1.0,ns
test_neg_mean_absolute_error,25.31340845725453,8.54177318629153e-30,XGBoost,AutoGluon,1.7937723691212215e-28,****
train_neg_mean_absolute_error,22.018199640303845,4.6098250292664876e-27,Linear Regression,Ridge Regression,9.680632561459624e-26,****
train_neg_mean_absolute_error,80.90672032735571,7.859392834280683e-54,Linear Regression,SVM-linear,1.6504724951989434e-52,****
train_neg_mean_absolute_error,72.38735529543627,1.7533230676969787e-51,Linear Regression,SVM-rbf,3.6819784421636554e-50,****
train_neg_mean_absolute_error,4.421161299317587,5.444372166874723e-05,Linear Regression,Random Forest,0.0011433181550436918,**
train_neg_mean_absolute_error,-32.529744383135494,1.3175656964848292e-37,Linear Regression,XGBoost,2.7668879626181413e-36,****
train_neg_mean_absolute_error,-32.529744383135494,1.3175656964848292e-37,Linear Regression,AutoGluon,2.7668879626181413e-36,****
train_neg_mean_absolute_error,80.61080457391155,9.392790348403546e-54,Ridge Regression,SVM-linear,1.9724859731647445e-52,****
train_neg_mean_absolute_error,71.35910033113642,3.5116470561300876e-51,Ridge Regression,SVM-rbf,7.374458817873184e-50,****
train_neg_mean_absolute_error,4.266184750931698,9.055517349554024e-05,Ridge Regression,Random Forest,0.0019016586434063452,**
train_neg_mean_absolute_error,-22.047791850904513,5.58381640940844e-29,Ridge Regression,XGBoost,1.1726014459757724e-27,****
train_neg_mean_absolute_error,-22.047791850904513,5.58381640940844e-29,Ridge Regression,AutoGluon,1.1726014459757724e-27,****
train_neg_mean_absolute_error,-46.18175164887962,4.660418145408447e-42,SVM-linear,SVM-rbf,9.78687810535774e-41,****
train_neg_mean_absolute_error,-1.1734469925492537,0.2462890897910607,SVM-linear,Random Forest,1.0,ns
train_neg_mean_absolute_error,-81.44880162873606,4.945624209648443e-59,SVM-linear,XGBoost,1.0385810840261731e-57,****
train_neg_mean_absolute_error,-81.44880162873606,4.945624209648443e-59,SVM-linear,AutoGluon,1.0385810840261731e-57,****
train_neg_mean_absolute_error,0.7833176993809624,0.43721041690995543,SVM-rbf,Random Forest,1.0,ns
train_neg_mean_absolute_error,-75.12688942538313,4.0478413216649575e-57,SVM-rbf,XGBoost,8.50046677549641e-56,****
train_neg_mean_absolute_error,-75.12688942538313,4.0478413216649575e-57,SVM-rbf,AutoGluon,8.50046677549641e-56,****
train_neg_mean_absolute_error,-4.340369114207397,6.145337137765734e-05,Random Forest,XGBoost,0.0012905207989308042,**
train_neg_mean_absolute_error,-4.340369114207397,6.145337137765734e-05,Random Forest,AutoGluon,0.0012905207989308042,**
train_neg_mean_absolute_error,,,XGBoost,AutoGluon,,ns
test_neg_root_mean_squared_error,-12.791370151924278,3.108428009937209e-17,Linear Regression,Ridge Regression,6.52769882086814e-16,****
test_neg_root_mean_squared_error,-13.515172421075254,3.757788221432744e-18,Linear Regression,SVM-linear,7.891355265008761e-17,****
test_neg_root_mean_squared_error,-13.29553217454472,7.085168249265988e-18,Linear Regression,SVM-rbf,1.4878853323458576e-16,****
test_neg_root_mean_squared_error,-14.225620588417433,5.033483992637122e-19,Linear Regression,Random Forest,1.0570316384537956e-17,****
test_neg_root_mean_squared_error,-34.07868991091992,1.148857339979294e-38,Linear Regression,XGBoost,2.4126004139565177e-37,****
test_neg_root_mean_squared_error,-8.34579447324332,2.3908715644131507e-11,Linear Regression,AutoGluon,5.020830285267617e-10,****
test_neg_root_mean_squared_error,-13.271502859167693,7.596985976825188e-18,Ridge Regression,SVM-linear,1.5953670551332893e-16,****
test_neg_root_mean_squared_error,-13.059836651380744,1.4087455563247124e-17,Ridge Regression,SVM-rbf,2.958365668281896e-16,****
test_neg_root_mean_squared_error,-13.984105254193539,9.900127246244663e-19,Ridge Regression,Random Forest,2.0790267217113794e-17,****
test_neg_root_mean_squared_error,-33.80898958244246,1.7440500466893716e-38,Ridge Regression,XGBoost,3.6625050980476805e-37,****
