Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,,,,,,,12.20 (0.54),12.11 (0.53)
Test MSE,,,,,,,15.24 (0.63),15.12 (0.63)
Test R2,,,,,,,-0.01 (0.02),0.01 (0.01)
Test Pearson r,,,,,,,0.08 (0.07),0.10 (0.06)
Test Spearman r,,,,,,,0.08 (0.07),0.10 (0.07)
