Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-7.18 (0.54),-7.55 (0.44),-6.90 (0.40),-6.90 (0.40),-6.68 (0.42),-6.75 (0.44),7.18 (0.57),-6.94 (0.39)
test_neg_root_mean_squared_error,-10.41 (1.47),-10.76 (1.16),-9.87 (1.09),-9.87 (1.09),-10.07 (1.16),-10.11 (1.16),10.44 (1.49),-9.94 (1.09)
test_r2,0.14 (0.05),-0.00 (0.01),0.15 (0.05),0.15 (0.05),0.12 (0.04),0.11 (0.04),0.14 (0.06),0.14 (0.06)
test_r_corr,0.39 (0.07),-0.00 (0.00),0.41 (0.06),0.41 (0.06),0.40 (0.06),0.39 (0.06),0.39 (0.07),0.39 (0.06)
test_spearmanr,0.41 (0.05),nan (nan),0.44 (0.06),0.44 (0.06),0.44 (0.06),0.42 (0.07),0.41 (0.06),0.42 (0.06)
