Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,12.69 (0.57),12.05 (0.51),12.05 (0.51),12.00 (0.55),12.02 (0.56),12.01 (0.49),12.03 (0.57),12.02 (0.56)
Test MSE,15.80 (0.71),15.05 (0.66),15.05 (0.66),15.12 (0.71),15.17 (0.72),15.14 (0.59),15.10 (0.68),15.08 (0.67)
Test R2,-0.01 (0.01),0.08 (0.03),0.08 (0.03),0.08 (0.04),0.07 (0.04),0.07 (0.05),0.08 (0.04),0.08 (0.04)
Test Pearson r,-0.00 (0.00),0.31 (0.05),0.31 (0.05),0.31 (0.05),0.30 (0.05),0.29 (0.06),0.29 (0.06),0.30 (0.06)
Test Spearman r,nan (nan),0.30 (0.06),0.30 (0.06),0.30 (0.06),0.29 (0.06),0.28 (0.06),0.29 (0.06),0.29 (0.06)
