Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-7.13 (0.51),,,,,,7.12 (0.51),
test_neg_root_mean_squared_error,-10.34 (1.47),,,,,,10.33 (1.48),
test_r2,-0.00 (0.02),,,,,,-0.00 (0.02),
test_r_corr,0.09 (0.07),,,,,,0.08 (0.07),
test_spearmanr,0.09 (0.07),,,,,,0.08 (0.07),
