Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,,,,,,,12.65 (0.52),12.60 (0.54)
Test MSE,,,,,,,15.73 (0.64),15.69 (0.69)
Test R2,,,,,,,-0.00 (0.02),0.00 (0.02)
Test Pearson r,,,,,,,0.10 (0.07),0.12 (0.07)
Test Spearman r,,,,,,,0.09 (0.07),0.11 (0.07)
