Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,,,,,,,12.51 (0.48),12.43 (0.48)
Test MSE,,,,,,,15.56 (0.60),15.45 (0.61)
Test R2,,,,,,,0.02 (0.03),0.03 (0.02)
Test Pearson r,,,,,,,0.17 (0.05),0.21 (0.06)
Test Spearman r,,,,,,,0.18 (0.05),0.21 (0.06)
