Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,,,,,,,7.21 (0.56),7.12 (0.54)
Test MSE,,,,,,,10.42 (1.53),10.37 (1.50)
Test R2,,,,,,,0.14 (0.05),0.15 (0.05)
Test Pearson r,,,,,,,0.39 (0.06),0.40 (0.06)
Test Spearman r,,,,,,,0.41 (0.05),0.42 (0.05)
