Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-7.08 (0.52),,,,,,7.21 (0.57),
test_neg_root_mean_squared_error,-10.40 (1.52),,,,,,10.44 (1.55),
test_r2,0.14 (0.05),,,,,,0.14 (0.05),
test_r_corr,0.40 (0.06),,,,,,0.39 (0.07),
test_spearmanr,0.42 (0.05),,,,,,0.41 (0.06),
