Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,,,,,,,12.22 (0.53),12.17 (0.50)
Test MSE,,,,,,,15.29 (0.64),15.22 (0.62)
Test R2,,,,,,,0.05 (0.03),0.06 (0.02)
Test Pearson r,,,,,,,0.25 (0.05),0.27 (0.06)
Test Spearman r,,,,,,,0.25 (0.06),0.27 (0.06)
