Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-7.66 (0.54),,,,,,7.74 (0.56),
test_neg_root_mean_squared_error,-11.12 (1.55),,,,,,11.14 (1.57),
test_r2,0.02 (0.03),,,,,,0.02 (0.02),
test_r_corr,0.18 (0.07),,,,,,0.16 (0.06),
test_spearmanr,0.17 (0.08),,,,,,0.16 (0.07),
