Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,,,,,,,7.21 (0.58),7.25 (0.54)
Test MSE,,,,,,,10.46 (1.50),10.45 (1.53)
Test R2,,,,,,,0.13 (0.05),0.14 (0.04)
Test Pearson r,,,,,,,0.38 (0.06),0.39 (0.05)
Test Spearman r,,,,,,,0.40 (0.06),0.42 (0.05)
