Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-12.02 (0.57),,,,,,12.02 (0.59),
test_neg_root_mean_squared_error,-15.10 (0.69),,,,,,15.15 (0.70),
test_r2,0.08 (0.04),,,,,,0.07 (0.04),
test_r_corr,0.29 (0.07),,,,,,0.28 (0.07),
test_spearmanr,0.29 (0.07),,,,,,0.28 (0.08),
