Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-7.75 (0.54),-7.55 (0.44),-7.41 (0.45),-7.41 (0.45),-7.20 (0.45),-7.43 (0.50),7.75 (0.56),-7.48 (0.43)
test_neg_root_mean_squared_error,-11.13 (1.57),-10.76 (1.16),-10.55 (1.16),-10.55 (1.16),-10.72 (1.18),-10.83 (1.15),11.14 (1.57),-10.62 (1.15)
test_r2,0.02 (0.02),-0.00 (0.01),0.03 (0.04),0.03 (0.04),0.00 (0.03),-0.02 (0.03),0.02 (0.02),0.02 (0.04)
test_r_corr,0.17 (0.06),-0.00 (0.00),0.21 (0.08),0.21 (0.08),0.21 (0.08),0.13 (0.07),0.16 (0.06),0.19 (0.07)
test_spearmanr,0.16 (0.06),nan (nan),0.21 (0.07),0.21 (0.07),0.21 (0.07),0.16 (0.07),0.16 (0.06),0.18 (0.06)
