Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-12.18 (0.49),-12.69 (0.57),-23.62 (0.95),-23.15 (0.93),-12.77 (0.60),-12.26 (0.59),12.23 (0.53),-12.21 (0.57)
test_neg_root_mean_squared_error,-15.23 (0.63),-15.80 (0.71),-29.84 (1.11),-29.25 (1.09),-16.02 (0.80),-15.46 (0.77),15.31 (0.64),-15.26 (0.68)
test_r2,0.06 (0.03),-0.01 (0.01),-2.63 (0.47),-2.48 (0.45),-0.04 (0.06),0.03 (0.04),0.05 (0.04),0.06 (0.03)
test_r_corr,0.27 (0.06),-0.00 (0.00),0.06 (0.09),0.06 (0.09),0.18 (0.07),0.23 (0.07),0.25 (0.06),0.26 (0.05)
test_spearmanr,0.27 (0.06),nan (nan),0.07 (0.09),0.07 (0.09),0.17 (0.07),0.23 (0.07),0.25 (0.07),0.27 (0.06)
