Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-7.24 (0.54),,,,,,7.22 (0.60),
test_neg_root_mean_squared_error,-10.44 (1.53),,,,,,10.48 (1.51),
test_r2,0.14 (0.04),,,,,,0.13 (0.05),
test_r_corr,0.39 (0.05),,,,,,0.38 (0.06),
test_spearmanr,0.41 (0.05),,,,,,0.40 (0.06),
