Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-12.43 (0.48),,,,,,12.51 (0.48),
test_neg_root_mean_squared_error,-15.45 (0.61),,,,,,15.56 (0.60),
test_r2,0.03 (0.02),,,,,,0.02 (0.03),
test_r_corr,0.21 (0.06),,,,,,0.17 (0.05),
test_spearmanr,0.21 (0.06),,,,,,0.18 (0.05),
