Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-7.27 (0.53),,,,,,7.31 (0.55),
test_neg_root_mean_squared_error,-10.53 (1.53),,,,,,10.61 (1.53),
test_r2,0.12 (0.03),,,,,,0.11 (0.05),
test_r_corr,0.38 (0.06),,,,,,0.35 (0.06),
test_spearmanr,0.40 (0.05),,,,,,0.36 (0.06),
