Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-12.58 (0.53),,,,,,12.65 (0.52),
test_neg_root_mean_squared_error,-15.69 (0.68),,,,,,15.73 (0.65),
test_r2,0.00 (0.03),,,,,,-0.00 (0.02),
test_r_corr,0.12 (0.07),,,,,,0.10 (0.08),
test_spearmanr,0.11 (0.07),,,,,,0.09 (0.08),
