Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,12.69 (0.57),24.52 (1.02),24.00 (1.00),12.83 (0.60),12.29 (0.58),12.46 (0.56),12.34 (0.51),12.35 (0.48)
Test MSE,15.80 (0.71),30.94 (1.21),30.30 (1.17),16.12 (0.80),15.51 (0.78),15.52 (0.71),15.45 (0.68),15.42 (0.63)
Test R2,-0.01 (0.01),-2.90 (0.53),-2.74 (0.50),-0.05 (0.06),0.03 (0.04),0.03 (0.02),0.03 (0.03),0.04 (0.02)
Test Pearson r,-0.00 (0.00),0.04 (0.09),0.04 (0.09),0.16 (0.07),0.21 (0.07),0.19 (0.05),0.21 (0.06),0.22 (0.06)
Test Spearman r,nan (nan),0.05 (0.09),0.05 (0.09),0.15 (0.07),0.22 (0.07),0.20 (0.05),0.21 (0.06),0.22 (0.06)
