Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,,,,,,,7.74 (0.56),7.66 (0.54)
Test MSE,,,,,,,11.14 (1.57),11.12 (1.55)
Test R2,,,,,,,0.02 (0.02),0.02 (0.03)
Test Pearson r,,,,,,,0.16 (0.06),0.18 (0.07)
Test Spearman r,,,,,,,0.16 (0.07),0.17 (0.08)
