Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-12.35 (0.48),-12.69 (0.57),-24.52 (1.02),-24.00 (1.00),-12.83 (0.60),-12.29 (0.58),12.34 (0.51),-12.46 (0.56)
test_neg_root_mean_squared_error,-15.42 (0.63),-15.80 (0.71),-30.94 (1.21),-30.30 (1.17),-16.12 (0.80),-15.51 (0.78),15.45 (0.68),-15.52 (0.71)
test_r2,0.04 (0.02),-0.01 (0.01),-2.90 (0.53),-2.74 (0.50),-0.05 (0.06),0.03 (0.04),0.03 (0.03),0.03 (0.02)
test_r_corr,0.22 (0.06),-0.00 (0.00),0.04 (0.09),0.04 (0.09),0.16 (0.07),0.21 (0.07),0.21 (0.06),0.19 (0.05)
test_spearmanr,0.22 (0.06),nan (nan),0.05 (0.09),0.05 (0.09),0.15 (0.07),0.22 (0.07),0.21 (0.06),0.20 (0.05)
