Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,,,,,,,12.65 (0.52),12.58 (0.53)
Test MSE,,,,,,,15.73 (0.65),15.69 (0.68)
Test R2,,,,,,,-0.00 (0.02),0.00 (0.03)
Test Pearson r,,,,,,,0.10 (0.08),0.12 (0.07)
Test Spearman r,,,,,,,0.09 (0.08),0.11 (0.07)
