Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-12.11 (0.53),,,,,,12.20 (0.54),
test_neg_root_mean_squared_error,-15.12 (0.63),,,,,,15.24 (0.63),
test_r2,0.01 (0.01),,,,,,-0.01 (0.02),
test_r_corr,0.10 (0.06),,,,,,0.08 (0.07),
test_spearmanr,0.10 (0.07),,,,,,0.08 (0.07),
