Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-11.98 (0.58),-12.69 (0.57),-11.91 (0.56),-11.91 (0.56),-11.85 (0.57),-11.83 (0.56),12.01 (0.59),-12.04 (0.55)
test_neg_root_mean_squared_error,-15.06 (0.69),-15.80 (0.71),-14.95 (0.68),-14.95 (0.68),-14.97 (0.72),-14.95 (0.71),15.16 (0.70),-15.18 (0.65)
test_r2,0.08 (0.04),-0.01 (0.01),0.10 (0.04),0.10 (0.04),0.09 (0.03),0.10 (0.03),0.07 (0.04),0.07 (0.04)
test_r_corr,0.30 (0.07),-0.00 (0.00),0.33 (0.05),0.33 (0.05),0.33 (0.05),0.34 (0.05),0.28 (0.07),0.29 (0.06)
test_spearmanr,0.29 (0.07),nan (nan),0.32 (0.05),0.32 (0.05),0.32 (0.05),0.33 (0.05),0.28 (0.07),0.29 (0.06)
