Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,7.55 (0.44),7.41 (0.45),7.41 (0.45),7.20 (0.45),7.43 (0.50),7.48 (0.43),7.75 (0.56),7.75 (0.54)
Test MSE,10.76 (1.16),10.55 (1.16),10.55 (1.16),10.72 (1.18),10.83 (1.15),10.62 (1.15),11.14 (1.57),11.13 (1.57)
Test R2,-0.00 (0.01),0.03 (0.04),0.03 (0.04),0.00 (0.03),-0.02 (0.03),0.02 (0.04),0.02 (0.02),0.02 (0.02)
Test Pearson r,-0.00 (0.00),0.21 (0.08),0.21 (0.08),0.21 (0.08),0.13 (0.07),0.19 (0.07),0.16 (0.06),0.17 (0.06)
Test Spearman r,nan (nan),0.21 (0.07),0.21 (0.07),0.21 (0.07),0.16 (0.07),0.18 (0.06),0.16 (0.06),0.16 (0.06)
