Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,7.55 (0.44),6.86 (0.43),6.86 (0.43),6.66 (0.44),6.65 (0.44),6.89 (0.41),7.21 (0.55),7.16 (0.52)
Test MSE,10.76 (1.16),9.86 (1.11),9.86 (1.11),10.01 (1.16),9.97 (1.18),9.88 (1.15),10.44 (1.54),10.34 (1.49)
Test R2,-0.00 (0.01),0.16 (0.06),0.16 (0.06),0.13 (0.04),0.14 (0.05),0.15 (0.05),0.14 (0.05),0.15 (0.04)
Test Pearson r,-0.00 (0.00),0.41 (0.06),0.41 (0.06),0.41 (0.06),0.41 (0.06),0.40 (0.07),0.39 (0.06),0.41 (0.06)
Test Spearman r,nan (nan),0.44 (0.06),0.44 (0.06),0.44 (0.06),0.44 (0.06),0.42 (0.06),0.41 (0.06),0.43 (0.05)
