Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,,,,,,,12.07 (0.56),12.04 (0.57)
Test MSE,,,,,,,15.15 (0.66),15.11 (0.66)
Test R2,,,,,,,0.00 (0.02),0.01 (0.02)
Test Pearson r,,,,,,,0.10 (0.07),0.13 (0.05)
Test Spearman r,,,,,,,0.10 (0.07),0.12 (0.06)
