Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,,,,,,,7.21 (0.57),7.08 (0.52)
Test MSE,,,,,,,10.44 (1.55),10.40 (1.52)
Test R2,,,,,,,0.14 (0.05),0.14 (0.05)
Test Pearson r,,,,,,,0.39 (0.07),0.40 (0.06)
Test Spearman r,,,,,,,0.41 (0.06),0.42 (0.05)
