Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-12.65 (0.49),-12.69 (0.57),-12.57 (0.60),-12.57 (0.60),-12.56 (0.61),-12.48 (0.58),12.64 (0.51),-12.64 (0.60)
test_neg_root_mean_squared_error,-15.70 (0.62),-15.80 (0.71),-15.62 (0.75),-15.62 (0.75),-15.77 (0.76),-15.75 (0.75),15.71 (0.63),-15.76 (0.76)
test_r2,0.00 (0.02),-0.01 (0.01),0.01 (0.03),0.01 (0.03),-0.00 (0.03),-0.00 (0.03),0.00 (0.02),-0.00 (0.04)
test_r_corr,0.10 (0.07),-0.00 (0.00),0.16 (0.06),0.16 (0.06),0.16 (0.06),0.17 (0.07),0.10 (0.07),0.13 (0.08)
test_spearmanr,0.10 (0.08),nan (nan),0.14 (0.05),0.14 (0.05),0.15 (0.06),0.15 (0.06),0.10 (0.08),0.12 (0.06)
