Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-7.18 (0.52),-7.55 (0.44),-6.84 (0.41),-6.84 (0.41),-6.65 (0.43),-6.67 (0.44),7.18 (0.56),-6.94 (0.41)
test_neg_root_mean_squared_error,-10.36 (1.48),-10.76 (1.16),-9.85 (1.10),-9.85 (1.10),-10.02 (1.17),-10.00 (1.17),10.38 (1.51),-9.95 (1.10)
test_r2,0.15 (0.05),-0.00 (0.01),0.16 (0.05),0.16 (0.05),0.13 (0.04),0.13 (0.04),0.15 (0.05),0.14 (0.06)
test_r_corr,0.41 (0.06),-0.00 (0.00),0.41 (0.06),0.41 (0.06),0.41 (0.06),0.41 (0.06),0.40 (0.06),0.39 (0.07)
test_spearmanr,0.43 (0.05),nan (nan),0.45 (0.06),0.45 (0.06),0.45 (0.06),0.44 (0.06),0.42 (0.05),0.41 (0.06)
