Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-12.04 (0.57),,,,,,12.07 (0.56),
test_neg_root_mean_squared_error,-15.11 (0.66),,,,,,15.15 (0.66),
test_r2,0.01 (0.02),,,,,,0.00 (0.02),
test_r_corr,0.13 (0.05),,,,,,0.10 (0.07),
test_spearmanr,0.12 (0.06),,,,,,0.10 (0.07),
