Metric,AutoGluon,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,XGBoost,rf
test_neg_mean_absolute_error,-7.17 (0.51),,,,,,7.15 (0.50),
test_neg_root_mean_squared_error,-10.37 (1.48),,,,,,10.41 (1.46),
test_r2,-0.01 (0.01),,,,,,-0.02 (0.03),
test_r_corr,0.03 (0.07),,,,,,0.04 (0.07),
test_spearmanr,0.03 (0.06),,,,,,0.02 (0.06),
