Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,7.55 (0.44),14.64 (0.77),14.35 (0.75),7.39 (0.44),6.95 (0.44),7.04 (0.38),7.23 (0.57),7.20 (0.54)
Test MSE,10.76 (1.16),18.80 (0.87),18.45 (0.87),10.66 (1.12),10.33 (1.14),10.08 (1.04),10.50 (1.51),10.42 (1.52)
Test R2,-0.00 (0.01),-2.16 (0.67),-2.04 (0.64),0.01 (0.06),0.08 (0.03),0.12 (0.05),0.13 (0.05),0.14 (0.04)
Test Pearson r,-0.00 (0.00),0.10 (0.07),0.10 (0.07),0.27 (0.06),0.32 (0.06),0.36 (0.06),0.37 (0.06),0.40 (0.06)
Test Spearman r,nan (nan),0.10 (0.07),0.10 (0.07),0.27 (0.05),0.35 (0.06),0.40 (0.06),0.39 (0.06),0.42 (0.05)
