Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,7.55 (0.44),6.84 (0.41),6.84 (0.41),6.65 (0.43),6.67 (0.44),6.94 (0.41),7.18 (0.56),7.18 (0.52)
Test MSE,10.76 (1.16),9.85 (1.10),9.85 (1.10),10.02 (1.17),10.00 (1.17),9.95 (1.10),10.38 (1.51),10.36 (1.48)
Test R2,-0.00 (0.01),0.16 (0.05),0.16 (0.05),0.13 (0.04),0.13 (0.04),0.14 (0.06),0.15 (0.05),0.15 (0.05)
Test Pearson r,-0.00 (0.00),0.41 (0.06),0.41 (0.06),0.41 (0.06),0.41 (0.06),0.39 (0.07),0.40 (0.06),0.41 (0.06)
Test Spearman r,nan (nan),0.45 (0.06),0.45 (0.06),0.45 (0.06),0.44 (0.06),0.41 (0.06),0.42 (0.05),0.43 (0.05)
