Metric,Dummy,Linear,Ridge,SVM-linear,SVM-rbf,Random forest,XGBoost,AutoGluon
Test MAE,7.55 (0.44),6.90 (0.40),6.90 (0.40),6.68 (0.42),6.75 (0.44),6.94 (0.39),7.18 (0.57),7.18 (0.54)
Test MSE,10.76 (1.16),9.87 (1.09),9.87 (1.09),10.07 (1.16),10.11 (1.16),9.94 (1.09),10.44 (1.49),10.41 (1.47)
Test R2,-0.00 (0.01),0.15 (0.05),0.15 (0.05),0.12 (0.04),0.11 (0.04),0.14 (0.06),0.14 (0.06),0.14 (0.05)
Test Pearson r,-0.00 (0.00),0.41 (0.06),0.41 (0.06),0.40 (0.06),0.39 (0.06),0.39 (0.06),0.39 (0.07),0.39 (0.07)
Test Spearman r,nan (nan),0.44 (0.06),0.44 (0.06),0.44 (0.06),0.42 (0.07),0.42 (0.06),0.41 (0.06),0.41 (0.05)
