,repeat,fold,params,test_r2,test_neg_root_mean_squared_error,test_neg_mean_absolute_error,test_r_corr,test_spearmanr
0,1,1,"{'max_depth': 10, 'colsample_bytree': 0.9839225132897457, 'n_estimators': 106, 'lambda': 71.44279843857767, 'alpha': 6.5413799969958175, 'learning_rate': 0.010280614275085247, 'min_child_weight': 6, 'subsample': 0.530903820549353}",0.00811442188131084,14.79622955908673,11.505980270443834,0.128778128287848,0.14339922393172175
45,10,1,"{'max_depth': 7, 'colsample_bytree': 0.6150239697953814, 'n_estimators': 69, 'lambda': 75.13939647894547, 'alpha': 75.86580785774792, 'learning_rate': 0.01570751913034169, 'min_child_weight': 1, 'subsample': 0.6566637526380061}",0.007072651881813163,14.074775014657206,11.359312281858102,0.0844694025548759,0.10062155039530607
30,7,1,"{'max_depth': 9, 'colsample_bytree': 0.8577594811688957, 'n_estimators': 70, 'lambda': 64.50635989354163, 'alpha': 0.008101898465685533, 'learning_rate': 0.01008765202740381, 'min_child_weight': 5, 'subsample': 0.5571589901930918}",0.005436345532263576,15.004773462493691,11.934520569972866,0.1486945134107953,0.12166973298195019
5,2,1,"{'max_depth': 3, 'colsample_bytree': 0.8719108250740762, 'n_estimators': 64, 'lambda': 24.382119808315885, 'alpha': 7.828551077057607, 'learning_rate': 0.01091941128262784, 'min_child_weight': 2, 'subsample': 0.8796263810284777}",0.005237648327497735,14.309323876163578,11.331558656604338,0.13776658161571553,0.13306929806906526
38,8,4,"{'max_depth': 9, 'colsample_bytree': 0.8932873957388714, 'n_estimators': 86, 'lambda': 99.38354773997483, 'alpha': 0.09165364864880564, 'learning_rate': 0.019513636118760655, 'min_child_weight': 6, 'subsample': 0.5501808049572658}",0.005114443638952637,14.76671313555554,11.581340261527407,0.07822709216559647,0.0668340709064691
34,7,5,"{'max_depth': 3, 'colsample_bytree': 0.6512052756617162, 'n_estimators': 72, 'lambda': 0.0021602505349726754, 'alpha': 0.0025787418261765866, 'learning_rate': 0.021266324246692166, 'min_child_weight': 14, 'subsample': 0.6979786993678009}",0.004614489317128934,15.969453393907807,12.886693342456264,0.10381799868016224,0.043394189370371226
24,5,5,"{'max_depth': 6, 'colsample_bytree': 0.6005265396744015, 'n_estimators': 173, 'lambda': 97.36099503221538, 'alpha': 0.021691453253098052, 'learning_rate': 0.016574293743528295, 'min_child_weight': 6, 'subsample': 0.5082524990187495}",0.00451850708300594,15.730567537120338,12.41391229619553,0.07645204255972851,0.07080204863010293
48,10,4,"{'max_depth': 5, 'colsample_bytree': 0.9390899383102592, 'n_estimators': 73, 'lambda': 0.01137822495738292, 'alpha': 73.97122135376576, 'learning_rate': 0.010356318072415525, 'min_child_weight': 8, 'subsample': 0.5207774593759968}",0.0035759566021054123,15.605044580233244,12.563377006643474,0.14220135640338735,0.13281786087215955
7,2,3,"{'max_depth': 7, 'colsample_bytree': 0.6502400885841036, 'n_estimators': 50, 'lambda': 7.991814589628926, 'alpha': 0.041476369777658874, 'learning_rate': 0.027999801842841544, 'min_child_weight': 7, 'subsample': 0.527947452509424}",0.0031857793920654354,15.43989698034925,12.597325690895664,0.13388566042127237,0.14054746158818557
42,9,3,"{'max_depth': 6, 'colsample_bytree': 0.7884952211281936, 'n_estimators': 123, 'lambda': 72.52084661486836, 'alpha': 0.00918675863078676, 'learning_rate': 0.014548756197974407, 'min_child_weight': 7, 'subsample': 0.5254550611359199}",0.002732109678980077,15.157860056057785,11.9731426594131,0.08371288763300949,0.0810079061210283
