Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,"Sleep, Demo",11.63,12.91,-4.44,-0.03,-0.03
AutoGluon,"Sleep, Demo, Brain",15.94,16.83,-8.25,0.21,0.08
XGBoost,"Sleep, Demo",13.36,14.35,-5.73,0.35*,0.35*
XGBoost,"Sleep, Demo, Brain",19.47,20.52,-12.74,0.23,0.23
