Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,"Sleep, Demo",3.92,5.48,-0.77,-0.00,0.03
AutoGluon,"Sleep, Demo, Brain",3.66,4.87,-0.40,-0.11,-0.15
XGBoost,"Sleep, Demo",4.26,5.92,-1.06,-0.15,-0.17
XGBoost,"Sleep, Demo, Brain",3.80,5.36,-0.69,0.07,0.10
