Model,Feature Combination,Performance Test Set MAE,Performance Test Set RMSE,Performance Test Set R2,Performance Test Set Pearson r,Performance Test Set Spearman r
AutoGluon,"Sleep, Demo",12.92,16.04,-0.39,-0.04,0.03
AutoGluon,"Sleep, Demo, Brain",11.73,14.27,-0.10,0.06,-0.02
XGBoost,"Sleep, Demo",12.52,15.32,-0.26,0.09,0.12
XGBoost,"Sleep, Demo, Brain",11.56,13.99,-0.05,0.24,0.21
